Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Cyclin E Associated Events During G1/S Transition R-HSA-69202,1/82,0.9999960806889368,0.999996464736758,0,0,0.0371613140554822,1.4564703472074838e-07,MYC
Reactome_2022,Centrosome Maturation R-HSA-380287,1/81,0.9999960969609708,0.999996464736758,0,0,0.0376283470907992,1.468651939058274e-07,CDK1
Reactome_2022,Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,1/81,0.9999960969609708,0.999996464736758,0,0,0.0376283470907992,1.468651939058274e-07,UBE2C
Reactome_2022,Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320,1/80,0.9999961133832618,0.999996464736758,0,0,0.0381072037472635,1.4810838375149597e-07,CDK1
Reactome_2022,COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434,1/78,0.9999961466362044,0.999996464736758,0,0,0.0391022305658907,1.5067540988934877e-07,KIF20A
Reactome_2022,Nuclear Events Mediated By NFE2L2 R-HSA-9759194,1/78,0.9999961466362044,0.999996464736758,0,0,0.0391022305658907,1.5067540988934877e-07,MYC
Reactome_2022,G2/M DNA Damage Checkpoint R-HSA-69473,2/77,0.9999961567144942,0.999996464736758,0,0,0.0803168210498053,3.086810673913444e-07,CCNB1;CDK1
Reactome_2022,Protein Ubiquitination R-HSA-8852135,1/76,0.9999961805834908,0.999996464736758,0,0,0.0401503254815113,1.53351108848959e-07,UBE2C
Reactome_2022,Nuclear Envelope (NE) Reassembly R-HSA-2995410,2/75,0.9999961859352338,0.999996464736758,0,0,0.0825283158353516,3.147689419195893e-07,CCNB1;CDK1
Reactome_2022,APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,2/73,0.9999962121959076,0.999996464736758,0,0,0.0848644018764216,3.214503375208212e-07,UBE2C;AURKA
Reactome_2022,APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419,2/73,0.9999962121959076,0.999996464736758,0,0,0.0848644018764216,3.214503375208212e-07,UBE2C;CDK1
Reactome_2022,Signaling By NOTCH1 R-HSA-1980143,1/74,0.9999962152088694,0.999996464736758,0,0,0.041255850255522,1.5614507162139009e-07,MYC
Reactome_2022,Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793,1/51,0.9999962226006336,0.999996464736758,0,0,0.0603261526072075,2.2787640102686166e-07,MYC
Reactome_2022,AURKA Activation By TPX2 R-HSA-8854518,2/72,0.9999962234425372,0.999996464736758,0,0,0.086082503883551,3.2509613632643933e-07,CDK1;AURKA
Reactome_2022,Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184,2/72,0.9999962234425372,0.999996464736758,0,0,0.086082503883551,3.2509613632643933e-07,UBE2C;CDK1
Reactome_2022,CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017,1/72,0.9999962504288528,0.999996464736758,0,0,0.0424236581153925,1.5907082264892306e-07,UBE2C
Reactome_2022,Loss Of Nlp From Mitotic Centrosomes R-HSA-380259,1/69,0.9999963040179748,0.999996464736758,0,0,0.044304172242684,1.6374772685524464e-07,CDK1
Reactome_2022,APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154,1/67,0.999996339766286,0.999996464736758,0,0,0.0456528237885193,1.6710031058373394e-07,UBE2C
Reactome_2022,Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084,1/63,0.999996408176728,0.999996464736758,0,0,0.048611156211642,1.7460299572765805e-07,UBE2C
Reactome_2022,Pyruvate Metabolism And Citric Acid (TCA) Cycle R-HSA-71406,1/54,0.9999964196620496,0.999996464736758,0,0,0.0569000687556742,2.03721840239484e-07,LDHA
Reactome_2022,FBXL7 Down-Regulates AURKA During Mitotic Entry And In Early Mitosis R-HSA-8854050,1/54,0.9999964196620496,0.999996464736758,0,0,0.0569000687556742,2.03721840239484e-07,AURKA
Reactome_2022,Ca2+ Pathway R-HSA-4086398,1/61,0.9999964374363056,0.999996464736758,0,0,0.0502382390443594,1.7897724530377705e-07,MYC
Reactome_2022,Signaling By ALK Fusions And Activated Point Mutants R-HSA-9725370,1/55,0.9999964458433944,0.999996464736758,0,0,0.0558426354681639,1.984738244258266e-07,RPS6
Reactome_2022,Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,1/60,0.9999964494497088,0.999996464736758,0,0,0.0510931469734143,1.8140910991142066e-07,MYC
Reactome_2022,Transcriptional Regulation Of Granulopoiesis R-HSA-9616222,1/59,0.99999645888695,0.999996464736758,0,0,0.0519775344862298,1.8405865156295085e-07,MYC
Reactome_2022,Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862,1/58,0.999996464736758,0.999996464736758,0,0,0.0528929531398457,1.869908435233979e-07,MYC
